sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Katajamaa;Marko;5612;13 Lappi;KOK;0.000133601020096691;0.00477867576832797;0.0922458132420211;0.858563624899758;0.00140841299744931;0.00276988400338847;0.00174176549012212;0.0102367922263809;0.00650556219157558;0.0177834515707638;0.00194939622803479;0.000177071989849107;0.00140813424759409;4.17718454294429e-05;0.000256042279208888;kok;1
Katajamäki;Mira;4478;03 Varsinais-Suomi;PS;0.234845873632786;0.000502889930956583;0.0217024990974867;1.952335028467e-05;0.000698325992324238;0.0402502292478192;0.00165747448367376;0.693963507462763;0.00118077065919033;7.21038706311464e-06;0.000159190033089301;0.000988602978403368;0.0011660467764985;0.00267742990204838;0.000180426065613088;ps;1
Kattelus;Lauri;5669;03 Varsinais-Suomi;KOK;1.4152138377241e-05;0.000597821413594021;0.00190626706295975;0.539231726013143;0.000553800575314673;0.000192365664305188;0.168031548998297;4.67408694059437e-05;0.00170830484650209;0.225709087107668;0.000151091664086881;4.50014294655718e-05;0.00041644578014665;1.08577800495645e-05;0.0613847886566847;kok;1
Kauma;Pia;5655;02 Uusimaa;KOK;6.06940078787128e-05;0.0112590507148659;0.0200652649940176;0.936987369536802;0.000783694580933354;0.00161519265828987;0.000754791096654947;0.0184770520663933;0.00412044857810061;0.00249296540047123;0.00243210634063122;3.65908797386822e-05;0.000759826400895994;1.22344236735374e-05;0.000142718320653573;kok;1
Kaunisaho;Ari;5125;09 Savo-Karjalan vaalipiiri;PS;0.00128501474778864;0.0734654294857082;0.40807906487243;0.30636155170932;0.00237124365802063;0.00280593817817296;0.0308919780510487;0.147726052181311;0.00886751783089204;0.00411682694317496;0.00534985496545552;5.67603607081219e-05;0.00161704494286342;0.000187432250653424;0.00681828982245246;kesk;0
Kaunismaa;Juha;6216;02 Uusimaa;KD;9.19944141887312e-06;0.408556179465361;0.139129520746766;0.393021791265879;0.000692258224753657;0.000179569831024421;0.00162521291759973;0.0103429223163246;0.00528524558072758;0.0212104089779138;0.0192284367396662;3.79387261612503e-05;0.000543997316481554;2.16929854491501e-05;0.000115625464473252;kd;1
Kaunisto;Timo;4698;06 Häme;KESK;0.00132517835572835;0.00981840848149484;0.795600901668308;0.012820865346735;0.00277344563489222;0.000632857359221576;0.00148886648352351;0.00311138241905853;0.00773794759171388;0.0325792313717006;0.0287206031520981;0.000684185006992042;0.00272774266282202;0.00855623739993672;0.0914221470657749;kesk;1
Kaunistola;Mari;5660;04 Satakunta;KOK;4.22015109066385e-05;0.117942846888486;0.118741431977069;0.625352873104159;0.00197524584636069;0.000719503042198925;0.00182228523328797;0.0203044138931187;0.00897222971740662;0.0668238243557247;0.0335461969520252;0.000112241936666653;0.00176877239353646;0.0006328936034954;0.00124303954555837;kok;1
Kauppinen;Elsi;4579;09 Savo-Karjalan vaalipiiri;VIHR;0.000320229837199252;0.000183470419240658;0.0731615385005634;0.00402335278458922;0.00135760403545811;0.000113347725533013;0.0824301154873834;0.000467816448780641;0.00315082301816873;0.0172916700398535;0.00195082471228485;0.000268875076803068;0.00114924352001811;0.00239420123779041;0.811736887156333;vihr;1
Kauppinen;Petri;6217;01 Helsinki;IP;0.451178392924416;0.0835230553057252;0.0201447865785989;1.31070852504128e-05;0.00175097159893472;0.0244337270777722;0.00113524067488376;0.368207713223567;0.0020047054659867;1.31325183498545e-05;0.00130992966679148;0.0312734704409668;0.00947130721063758;0.0042857558865907;0.00125470434152874;ip;1
Kauppinen;Roosa;4763;11 Keski-Suomi;KD;0.00791332919140659;0.314895608065038;0.486402655160621;0.114153384037223;0.00291698111557423;0.00543718474403028;0.00590063928932038;0.0167373173161445;0.00658271055316526;0.00971711915530518;0.00435381423354057;0.00117679803147549;0.00450216440836782;0.000598229259621325;0.0187120654391664;kesk;0
Kauppinen;Sirpa Siru;4195;02 Uusimaa;VIHR;0.00152315541827455;0.00171136719384137;0.0197351961414413;0.00152210637513131;0.00296987293843556;0.000245712641308219;0.0370761561038131;0.000621087776007254;0.00520208762369522;0.0139676880741469;0.0277151125920637;0.00603793021751316;0.00313411362538051;0.0615909770820658;0.816947436196882;vihr;1
